;;900°C;;650°C;
0.334;0.666;0.236254;0.015630;0.160503;0.004198
0.333;0.667;0.237962;0.015404;0.161883;0.004123
0.332;0.668;0.239678;0.015180;0.163270;0.004050
0.331;0.669;0.241402;0.014959;0.164663;0.003977
0.33;0.67;0.243134;0.014741;0.166063;0.003905
0.329;0.671;0.244875;0.014526;0.168556;0.003835
0.328;0.672;0.246624;0.014313;0.170067;0.003766
0.327;0.673;0.248381;0.014103;0.171587;0.003698
0.326;0.674;0.250146;0.013896;0.173116;0.003631
0.325;0.675;0.251920;0.013691;0.174655;0.003565
0.324;0.676;0.253702;0.013489;0.176203;0.003501
0.323;0.677;0.255492;0.013289;0.177761;0.003438
0.322;0.678;0.257290;0.013092;0.179329;0.003377
0.321;0.679;0.259096;0.012898;0.180905;0.003317
0.32;0.68;0.260911;0.012706;0.182492;0.003259
0.319;0.681;0.262734;0.012516;0.184087;0.003202
0.318;0.682;0.264565;0.012329;0.185693;0.003024
0.317;0.683;0.266405;0.012144;0.187308;0.002969
0.316;0.684;0.268253;0.011962;0.188932;0.002914
0.315;0.685;0.270108;0.011782;0.190566;0.002860
0.314;0.686;0.271973;0.011604;0.192210;0.002807
0.313;0.687;0.273845;0.011428;0.193863;0.002755
0.312;0.688;0.275726;0.011255;0.195526;0.002703
0.311;0.689;0.277615;0.011084;0.197199;0.002653
0.31;0.69;0.279512;0.010916;0.198881;0.002603
0.309;0.691;0.281417;0.010749;0.200573;0.002555
0.308;0.692;0.283331;0.010585;0.202274;0.002507
0.307;0.693;0.285252;0.010423;0.203985;0.002460
0.306;0.694;0.287182;0.010263;0.205706;0.002413
0.305;0.695;0.289120;0.010105;0.207437;0.002368
0.304;0.696;0.291067;0.009949;0.209178;0.002323
0.303;0.697;0.293021;0.009795;0.210928;0.002279
0.302;0.698;0.294984;0.009643;0.212688;0.002236
0.301;0.699;0.296955;0.009494;0.214457;0.002193
0.3;0.7;0.298934;0.009346;0.216237;0.002151
0.299;0.701;0.300922;0.009200;0.218026;0.002110
0.298;0.702;0.302917;0.009056;0.219825;0.002070
0.297;0.703;0.304921;0.008914;0.221633;0.002030
0.296;0.704;0.306932;0.008774;0.223452;0.001991
0.295;0.705;0.308952;0.008636;0.225280;0.001953
0.294;0.706;0.310980;0.008500;0.227118;0.001915
0.293;0.707;0.313016;0.008365;0.228966;0.001878
0.292;0.708;0.315061;0.008233;0.230824;0.001842
0.291;0.709;0.317113;0.008102;0.232692;0.001806
0.29;0.71;0.319173;0.007973;0.234569;0.001771
0.289;0.711;0.321242;0.007846;0.236456;0.001737
0.288;0.712;0.323319;0.007720;0.238353;0.001703
0.287;0.713;0.325403;0.007597;0.240260;0.001670
0.286;0.714;0.327496;0.007474;0.242177;0.001637
0.285;0.715;0.329597;0.007354;0.244104;0.001605
0.284;0.716;0.331705;0.007235;0.246040;0.001573
0.283;0.717;0.333822;0.007118;0.247986;0.001542
0.282;0.718;0.335947;0.007003;0.249943;0.001512
0.281;0.719;0.338079;0.006889;0.251909;0.001482
0.28;0.72;0.340220;0.006777;0.253884;0.001452
0.279;0.721;0.342369;0.006666;0.255870;0.001423
0.278;0.722;0.344525;0.006557;0.257866;0.001395
0.277;0.723;0.346690;0.006449;0.259871;0.001367
0.276;0.724;0.348862;0.006343;0.261886;0.001340
0.275;0.725;0.351042;0.006238;0.263911;0.001313
0.274;0.726;0.353230;0.006135;0.265946;0.001287
0.273;0.727;0.355426;0.006034;0.267991;0.001261
0.272;0.728;0.357630;0.005933;0.270045;0.001235
0.271;0.729;0.359841;0.005834;0.272110;0.001210
0.27;0.73;0.362061;0.005737;0.274184;0.001186
0.269;0.731;0.364288;0.005641;0.276268;0.001162
0.268;0.732;0.366522;0.005546;0.278361;0.001138
0.267;0.733;0.368765;0.005453;0.280465;0.001115
0.266;0.734;0.371015;0.005361;0.282578;0.001092
0.265;0.735;0.373273;0.005271;0.284701;0.001070
0.264;0.736;0.375539;0.005181;0.286834;0.001048
0.263;0.737;0.377812;0.005093;0.288977;0.001026
0.262;0.738;0.380092;0.005007;0.291129;0.001005
0.261;0.739;0.382381;0.004921;0.293291;0.000984
0.26;0.74;0.384677;0.004837;0.295463;0.000964
0.259;0.741;0.386980;0.004754;0.297645;0.000944
0.258;0.742;0.389291;0.004672;0.299836;0.000924
0.257;0.743;0.391609;0.004592;0.302037;0.000905
0.256;0.744;0.393935;0.004512;0.304247;0.000886
0.255;0.745;0.396268;0.004434;0.306467;0.000867
0.254;0.746;0.398609;0.004357;0.308697;0.000849
0.253;0.747;0.400957;0.004281;0.310937;0.000831
0.252;0.748;0.403312;0.004206;0.313186;0.000814
0.251;0.749;0.405675;0.004133;0.315444;0.000796
0.25;0.75;0.408045;0.004060;0.317712;0.000780
0.249;0.751;0.410422;0.003989;0.319990;0.000763
0.248;0.752;0.412806;0.003918;0.322277;0.000747
0.247;0.753;0.415198;0.003849;0.324574;0.000731
0.246;0.754;0.417597;0.003781;0.326881;0.000715
0.245;0.755;0.420002;0.003713;0.329196;0.000700
0.244;0.756;0.422415;0.003647;0.331521;0.000685
0.243;0.757;0.424835;0.003582;0.333856;0.000670
0.242;0.758;0.427262;0.003518;0.336200;0.000655
0.241;0.759;0.429696;0.003455;0.338553;0.000641
0.24;0.76;0.432137;0.003392;0.340916;0.000627
0.239;0.761;0.434584;0.003331;0.343288;0.000614
0.238;0.762;0.437039;0.003271;0.345670;0.000600
0.237;0.763;0.439500;0.003211;0.348060;0.000587
0.236;0.764;0.441968;0.003153;0.350460;0.000574
0.235;0.765;0.444443;0.003095;0.352869;0.000562
0.234;0.766;0.446924;0.003039;0.355287;0.000549
0.233;0.767;0.449412;0.002983;0.357715;0.000537
0.232;0.768;0.451907;0.002928;0.360151;0.000525
0.231;0.769;0.454408;0.002874;0.362597;0.000514
0.23;0.77;0.456916;0.002821;0.365052;0.000502
0.229;0.771;0.459430;0.002768;0.367515;0.000491
0.228;0.772;0.461951;0.002717;0.369988;0.000480
0.227;0.773;0.464478;0.002666;0.372470;0.000469
0.226;0.774;0.467011;0.002616;0.374961;0.000459
0.225;0.775;0.469551;0.002567;0.377460;0.000448
0.224;0.776;0.472097;0.002519;0.379969;0.000438
0.223;0.777;0.474649;0.002471;0.382486;0.000428
0.222;0.778;0.477207;0.002424;0.385012;0.000418
0.221;0.779;0.479772;0.002378;0.387547;0.000409
0.22;0.78;0.482342;0.002333;0.390090;0.000400
0.219;0.781;0.484918;0.002288;0.392643;0.000390
0.218;0.782;0.487500;0.002245;0.395204;0.000381
0.217;0.783;0.490088;0.002201;0.397773;0.000373
0.216;0.784;0.492682;0.002159;0.400351;0.000364
0.215;0.785;0.495282;0.002117;0.402938;0.000356
0.214;0.786;0.497887;0.002076;0.405533;0.000347
0.213;0.787;0.500498;0.002036;0.408137;0.000339
0.212;0.788;0.503115;0.001996;0.410749;0.000331
0.211;0.789;0.505737;0.001957;0.413369;0.000323
0.21;0.79;0.508364;0.001919;0.415998;0.000316
0.209;0.791;0.510997;0.001881;0.418635;0.000308
0.208;0.792;0.513636;0.001844;0.421281;0.000301
0.207;0.793;0.516279;0.001808;0.423934;0.000294
0.206;0.794;0.518928;0.001772;0.426596;0.000287
0.205;0.795;0.521582;0.001737;0.429261;0.000280
0.204;0.796;0.524241;0.001702;0.431802;0.000274
0.203;0.797;0.526905;0.001668;0.434359;0.000268
0.202;0.798;0.529574;0.001634;0.436934;0.000261
0.201;0.799;0.532248;0.001602;0.439525;0.000255
0.2;0.8;0.534926;0.001569;0.442132;0.000249
0.199;0.801;0.537610;0.001537;0.444756;0.000244
0.198;0.802;0.540298;0.001506;0.447396;0.000238
0.197;0.803;0.542990;0.001476;0.450052;0.000232
0.196;0.804;0.545687;0.001445;0.452723;0.000227
0.195;0.805;0.548389;0.001416;0.455411;0.000221
0.194;0.806;0.551095;0.001387;0.458114;0.000216
0.193;0.807;0.553805;0.001358;0.460833;0.000211
0.192;0.808;0.556520;0.001330;0.463567;0.000205
0.191;0.809;0.559239;0.001302;0.466316;0.000200
0.19;0.81;0.561961;0.001275;0.469080;0.000195
0.189;0.811;0.564688;0.001249;0.471858;0.000190
0.188;0.812;0.567419;0.001222;0.474652;0.000186
0.187;0.813;0.570153;0.001197;0.477460;0.000181
0.186;0.814;0.572891;0.001171;0.480283;0.000176
0.185;0.815;0.575633;0.001147;0.483119;0.000172
0.184;0.816;0.578379;0.001122;0.485970;0.000168
0.183;0.817;0.581127;0.001098;0.488835;0.000163
0.182;0.818;0.583880;0.001075;0.491714;0.000159
0.181;0.819;0.586635;0.001052;0.494606;0.000155
0.18;0.82;0.589394;0.001029;0.497511;0.000151
0.179;0.821;0.592156;0.001007;0.500430;0.000147
0.178;0.822;0.594921;0.000985;0.503362;0.000143
0.177;0.823;0.597689;0.000964;0.506307;0.000139
0.176;0.824;0.600460;0.000943;0.509265;0.000135
0.175;0.825;0.603233;0.000922;0.512236;0.000132
0.174;0.826;0.606010;0.000902;0.515219;0.000128
0.173;0.827;0.608788;0.000882;0.518214;0.000125
0.172;0.828;0.611570;0.000863;0.521222;0.000121
0.171;0.829;0.614353;0.000844;0.524241;0.000118
0.17;0.83;0.617139;0.000825;0.527273;0.000115
0.169;0.831;0.619927;0.000806;0.530316;0.000111
0.168;0.832;0.622717;0.000788;0.533370;0.000108
0.167;0.833;0.625509;0.000771;0.536436;0.000105
0.166;0.834;0.628303;0.000753;0.539513;0.000102
0.165;0.835;0.631099;0.000736;0.542601;0.000099
0.164;0.836;0.633896;0.000719;0.545699;0.000097
0.163;0.837;0.636695;0.000703;0.548809;0.000094
0.162;0.838;0.639495;0.000687;0.551928;0.000091
0.161;0.839;0.642297;0.000671;0.555058;0.000088
0.16;0.84;0.645099;0.000656;0.558198;0.000086
0.159;0.841;0.647903;0.000641;0.561347;0.000083
0.158;0.842;0.650708;0.000626;0.564506;0.000081
0.157;0.843;0.653514;0.000611;0.567675;0.000079
0.156;0.844;0.656320;0.000597;0.570853;0.000076
0.155;0.845;0.659127;0.000583;0.574040;0.000074
0.154;0.846;0.661935;0.000569;0.577235;0.000072
0.153;0.847;0.664743;0.000556;0.580440;0.000070
0.152;0.848;0.667551;0.000543;0.583653;0.000067
0.151;0.849;0.670360;0.000530;0.586873;0.000065
0.15;0.85;0.673168;0.000517;0.590102;0.000063
0.149;0.851;0.675976;0.000505;0.593339;0.000061
0.148;0.852;0.678784;0.000493;0.596584;0.000060
0.147;0.853;0.681592;0.000481;0.599835;0.000058
0.146;0.854;0.684399;0.000469;0.603094;0.000056
0.145;0.855;0.687206;0.000458;0.606360;0.000054
0.144;0.856;0.690012;0.000446;0.609632;0.000053
0.143;0.857;0.692817;0.000435;0.612911;0.000051
0.142;0.858;0.695621;0.000425;0.616196;0.000049
0.141;0.859;0.698424;0.000414;0.619487;0.000048
0.14;0.86;0.701226;0.000404;0.622784;0.000046
0.139;0.861;0.704026;0.000394;0.626087;0.000045
0.138;0.862;0.706825;0.000384;0.629394;0.000043
0.137;0.863;0.709621;0.000374;0.632707;0.000042
0.136;0.864;0.712417;0.000365;0.636025;0.000040
0.135;0.865;0.715210;0.000356;0.639347;0.000039
0.134;0.866;0.718001;0.000347;0.642674;0.000038
0.133;0.867;0.720790;0.000338;0.646004;0.000037
0.132;0.868;0.723576;0.000329;0.649338;0.000035
0.131;0.869;0.726360;0.000321;0.652676;0.000034
0.13;0.87;0.729141;0.000313;0.656018;0.000033
0.129;0.871;0.731920;0.000304;0.659362;0.000032
0.128;0.872;0.734695;0.000297;0.662709;0.000031
0.127;0.873;0.737467;0.000289;0.666059;0.000030
0.126;0.874;0.740236;0.000281;0.669411;0.000029
0.125;0.875;0.743002;0.000274;0.672764;0.000028
0.124;0.876;0.745764;0.000267;0.676120;0.000027
0.123;0.877;0.748522;0.000259;0.679477;0.000026
0.122;0.878;0.751276;0.000253;0.682835;0.000025
0.121;0.879;0.754026;0.000246;0.686194;0.000024
0.12;0.88;0.756772;0.000239;0.689554;0.000023
0.119;0.881;0.759514;0.000233;0.692914;0.000023
0.118;0.882;0.762251;0.000226;0.696274;0.000022
0.117;0.883;0.764983;0.000220;0.699634;0.000021
0.116;0.884;0.767711;0.000214;0.702993;0.000020
0.115;0.885;0.770433;0.000208;0.706351;0.000019
0.114;0.886;0.773151;0.000202;0.709709;0.000019
0.113;0.887;0.775863;0.000197;0.713064;0.000018
0.112;0.888;0.778569;0.000191;0.716419;0.000017
0.111;0.889;0.781270;0.000186;0.719771;0.000017
0.11;0.89;0.783965;0.000181;0.723120;0.000016
0.109;0.891;0.786654;0.000176;0.726468;0.000016
0.108;0.892;0.789336;0.000171;0.729812;0.000015
0.107;0.893;0.792013;0.000166;0.733153;0.000014
0.106;0.894;0.794682;0.000161;0.736490;0.000014
0.105;0.895;0.797345;0.000156;0.739824;0.000013
0.104;0.896;0.800002;0.000152;0.743153;0.000013
0.103;0.897;0.802651;0.000147;0.746478;0.000012
0.102;0.898;0.805292;0.000143;0.749798;0.000012
0.101;0.899;0.807927;0.000139;0.753113;0.000011
0.1;0.9;0.810554;0.000135;0.756422;0.000011
0.099;0.901;0.813173;0.000131;0.759726;0.000011
0.098;0.902;0.815784;0.000127;0.763023;0.000010
0.097;0.903;0.818387;0.000123;0.766314;0.000010
0.096;0.904;0.820982;0.000119;0.769599;0.000010
0.095;0.905;0.823568;0.000116;0.772876;0.000010
0.094;0.906;0.826146;0.000112;0.776146;0.000010
0.093;0.907;0.828714;0.000109;0.779407;0.000010
0.092;0.908;0.831274;0.000105;0.782661;0.000010
0.091;0.909;0.833824;0.000102;0.785907;0.000010
0.09;0.91;0.836365;0.000099;0.789143;0.000010
0.089;0.911;0.838897;0.000096;0.792370;0.000010
0.088;0.912;0.841418;0.000093;0.795588;0.000010
0.087;0.913;0.843930;0.000090;0.798796;0.000010
0.086;0.914;0.846431;0.000087;0.801994;0.000010
0.085;0.915;0.848923;0.000084;0.805181;0.000010
0.084;0.916;0.851403;0.000081;0.808358;0.000010
0.083;0.917;0.853873;0.000079;0.811523;0.000010
0.082;0.918;0.856332;0.000076;0.814677;0.000010
0.081;0.919;0.858780;0.000074;0.817818;0.000010
0.08;0.92;0.861217;0.000071;0.820948;0.000010
0.079;0.921;0.863642;0.000069;0.824065;0.000010
0.078;0.922;0.866055;0.000067;0.827168;0.000010
0.077;0.923;0.868457;0.000064;0.830259;0.000010
0.076;0.924;0.870846;0.000062;0.833335;0.000010
0.075;0.925;0.873224;0.000060;0.836398;0.000010
0.074;0.926;0.875588;0.000058;0.839446;0.000010
0.073;0.927;0.877941;0.000056;0.842480;0.000010
0.072;0.928;0.880280;0.000054;0.845498;0.000010
0.071;0.929;0.882606;0.000052;0.848500;0.000010
0.07;0.93;0.884919;0.000050;0.851487;0.000010
0.069;0.931;0.887219;0.000048;0.854458;0.000010
0.068;0.932;0.889505;0.000047;0.857412;0.000010
0.067;0.933;0.891778;0.000045;0.860349;0.000010
0.066;0.934;0.894036;0.000043;0.863268;0.000010
0.065;0.935;0.896280;0.000042;0.866170;0.000010
0.064;0.936;0.898510;0.000040;0.869054;0.000010
0.063;0.937;0.900725;0.000039;0.871920;0.000010
0.062;0.938;0.902926;0.000037;0.874766;0.000010
0.061;0.939;0.905111;0.000036;0.877594;0.000010
0.06;0.94;0.907282;0.000034;0.880402;0.000010
0.059;0.941;0.909437;0.000033;0.883190;0.000010
0.058;0.942;0.911576;0.000032;0.885958;0.000010
0.057;0.943;0.913700;0.000030;0.888705;0.000010
0.056;0.944;0.915808;0.000029;0.891431;0.000010
0.055;0.945;0.917899;0.000028;0.894136;0.000010
0.054;0.946;0.919975;0.000027;0.896819;0.000010
0.053;0.947;0.922034;0.000026;0.899480;0.000010
0.052;0.948;0.924076;0.000025;0.902119;0.000010
0.051;0.949;0.926102;0.000024;0.904735;0.000010
0.05;0.95;0.928110;0.000023;0.907327;0.000010
0.049;0.951;0.930101;0.000022;0.909897;0.000010
0.048;0.952;0.932075;0.000021;0.912442;0.000010
0.047;0.953;0.934031;0.000020;0.914963;0.000010
0.046;0.954;0.935969;0.000019;0.917460;0.000010
0.045;0.955;0.937890;0.000018;0.919931;0.000010
0.044;0.956;0.939792;0.000017;0.922378;0.000010
0.043;0.957;0.941676;0.000017;0.924798;0.000010
0.042;0.958;0.943541;0.000016;0.927193;0.000010
0.041;0.959;0.945387;0.000015;0.929561;0.000010
0.04;0.96;0.947215;0.000014;0.931903;0.000010
0.039;0.961;0.949023;0.000014;0.934218;0.000010
0.038;0.962;0.950813;0.000013;0.936505;0.000010
0.037;0.963;0.952582;0.000012;0.938765;0.000010
0.036;0.964;0.954333;0.000012;0.940996;0.000010
0.035;0.965;0.956063;0.000011;0.943199;0.000010
0.034;0.966;0.957773;0.000010;0.945374;0.000010
0.033;0.967;0.959464;0.000010;0.947519;0.000010
0.032;0.968;0.961134;0.000010;0.949635;0.000010
0.031;0.969;0.962783;0.000010;0.951721;0.000010
0.03;0.97;0.964412;0.000010;0.953777;0.000010
0.029;0.971;0.966020;0.000010;0.955803;0.000010
0.028;0.972;0.967607;0.000010;0.957798;0.000010
0.027;0.973;0.969172;0.000010;0.959762;0.000010
0.026;0.974;0.970717;0.000010;0.961695;0.000010
0.025;0.975;0.972240;0.000010;0.963596;0.000010
0.024;0.976;0.973741;0.000010;0.965465;0.000010
0.023;0.977;0.975221;0.000010;0.967302;0.000010
0.022;0.978;0.976678;0.000010;0.969106;0.000010
0.021;0.979;0.978114;0.000010;0.970878;0.000010
0.02;0.98;0.979527;0.000010;0.972616;0.000010
0.019;0.981;0.980917;0.000010;0.974321;0.000010
0.018;0.982;0.982285;0.000010;0.975992;0.000010
0.017;0.983;0.983631;0.000010;0.977629;0.000010
0.016;0.984;0.984953;0.000010;0.979232;0.000010
0.015;0.985;0.986253;0.000010;0.980800;0.000010
0.014;0.986;0.987529;0.000010;0.982334;0.000010
0.013;0.987;0.988782;0.000010;0.983832;0.000010
0.012;0.988;0.990011;0.000010;0.985295;0.000010
0.011;0.989;0.991217;0.000010;0.986722;0.000010
0.01;0.99;0.992399;0.000010;0.988113;0.000010
0.009;0.991;0.993558;0.000010;0.989469;0.000010
0.008;0.992;0.994692;0.000010;0.990787;0.000010
0.007;0.993;0.995802;0.000010;0.992070;0.000010
0.006;0.994;0.996888;0.000010;0.993315;0.000010
0.005;0.995;0.997949;0.000010;0.994523;0.000010
0.004;0.996;0.998986;0.000010;0.995694;0.000010
0.003;0.997;0.999999;0.000010;0.996827;0.000010
0.002;0.998;0.997949;0.000010;0.997922;0.000010
0.001;0.999;0.998986;0.000010;0.998980;0.000010
0;1;0.998986;0.000010;0.998980;0.000010
